id,gender,customer-type,age,type-of-travel,class,flight-distance,inflight-wifi-service,departure/arrival-time-convenient,ease-of-online-booking,gate-location,food-and-drink,online-boarding,seat-comfort,inflight-entertainment,on-board-service,leg-room-service,baggage-handling,checkin-service,inflight-service,cleanliness,departure-delay-in-minutes,arrival-delay-in-minutes,satisfaction
108932,Male,Loyal-customer,62,Personal-travel,Eco,1075,2,4,2,1,5,2,5,5,3,4,4,4,5,5,88,88.0,Neutral-or-dissatisfied
111795,Female,Disloyal-customer,33,Business-travel,Business,349,3,3,3,4,5,3,5,5,3,4,4,5,4,5,0,0.0,Neutral-or-dissatisfied
34926,Male,Loyal-customer,41,Business-travel,Eco,187,3,3,3,3,3,3,3,1,5,2,2,3,4,3,274,310.0,Neutral-or-dissatisfied
106754,Male,Loyal-customer,44,Business-travel,Business,605,1,0,0,3,2,3,3,3,3,0,2,3,3,3,0,7.0,Neutral-or-dissatisfied
85386,Male,Loyal-customer,8,Personal-travel,Business,214,2,0,2,4,5,2,5,5,4,4,5,3,4,5,45,36.0,Neutral-or-dissatisfied
103974,Female,Loyal-customer,46,Business-travel,Eco-plus,370,3,4,4,4,3,4,3,3,3,3,3,1,3,4,0,0.0,Neutral-or-dissatisfied
77063,Female,Loyal-customer,43,Business-travel,Business,2156,3,2,2,2,5,4,3,3,3,3,3,2,3,1,0,0.0,Neutral-or-dissatisfied
41192,Male,Loyal-customer,52,Business-travel,Eco,1091,3,2,2,2,4,3,4,4,1,5,3,3,1,4,9,12.0,Satisfied
41744,Female,Loyal-customer,14,Personal-travel,Eco,695,2,2,2,4,3,2,5,3,3,1,3,3,4,3,16,5.0,Neutral-or-dissatisfied
15430,Male,Loyal-customer,43,Business-travel,Business,2728,2,1,1,1,4,3,3,2,2,2,2,1,2,2,56,40.0,Neutral-or-dissatisfied
16531,Male,Loyal-customer,45,Business-travel,Eco,209,2,1,1,1,2,2,2,2,2,4,3,1,3,2,59,62.0,Neutral-or-dissatisfied
18450,Male,Loyal-customer,66,Personal-travel,Business,201,2,2,2,2,5,2,2,1,1,2,1,4,1,3,0,0.0,Neutral-or-dissatisfied
69071,Female,Loyal-customer,55,Business-travel,Business,1389,5,5,5,5,3,5,4,5,5,5,5,4,5,5,15,0.0,Satisfied
60726,Male,Loyal-customer,59,Personal-travel,Eco,1605,2,4,2,3,4,2,4,4,3,3,5,4,4,4,0,10.0,Neutral-or-dissatisfied
11215,Male,Loyal-customer,8,Personal-travel,Eco,309,3,5,3,3,4,3,4,4,5,5,5,4,5,4,0,0.0,Neutral-or-dissatisfied
121843,Female,Loyal-customer,51,Business-travel,Business,449,1,4,2,2,3,3,4,1,1,1,1,4,1,4,18,61.0,Neutral-or-dissatisfied
3657,Male,Loyal-customer,42,Business-travel,Business,1633,4,4,4,4,5,5,5,4,4,4,4,3,4,5,7,0.0,Satisfied
76003,Male,Loyal-customer,48,Business-travel,Business,2805,3,3,3,3,4,4,4,4,4,4,4,4,4,4,0,0.0,Satisfied
128355,Male,Disloyal-customer,25,Business-travel,Business,338,3,0,3,5,2,3,2,2,3,3,4,3,4,2,0,0.0,Neutral-or-dissatisfied
85872,Female,Loyal-customer,60,Business-travel,Business,2172,3,3,3,3,4,5,5,5,5,5,5,4,5,3,0,0.0,Satisfied
19656,Female,Loyal-customer,67,Personal-travel,Eco,763,1,2,1,4,3,4,3,2,2,1,2,4,2,1,15,3.0,Neutral-or-dissatisfied
69662,Female,Loyal-customer,38,Business-travel,Business,2545,4,4,4,4,4,1,4,5,5,5,3,2,5,4,0,0.0,Satisfied
49679,Male,Loyal-customer,49,Business-travel,Business,3437,3,3,3,3,4,3,3,4,4,4,4,1,4,2,0,1.0,Satisfied
118836,Female,Loyal-customer,57,Business-travel,Business,646,5,5,5,5,5,5,4,4,4,3,4,3,4,5,14,0.0,Satisfied
75230,Female,Loyal-customer,53,Personal-travel,Eco,1744,5,4,5,4,4,4,5,5,5,5,5,3,5,5,18,31.0,Satisfied
116483,Female,Loyal-customer,11,Personal-travel,Eco,333,2,3,2,2,1,2,1,1,1,5,5,4,4,1,0,0.0,Neutral-or-dissatisfied
5532,Female,Loyal-customer,52,Business-travel,Business,2504,5,5,5,5,5,4,3,4,4,4,4,1,4,1,0,0.0,Satisfied
35634,Male,Loyal-customer,49,Business-travel,Business,1626,3,3,3,3,1,3,3,3,3,4,3,3,3,1,28,36.0,Satisfied
67013,Male,Loyal-customer,42,Business-travel,Business,1995,1,1,2,1,5,5,5,4,4,4,4,5,4,4,0,0.0,Satisfied
66699,Female,Loyal-customer,49,Business-travel,Eco,802,3,4,4,4,3,4,3,3,3,3,3,4,3,4,0,0.0,Neutral-or-dissatisfied
33289,Female,Loyal-customer,39,Personal-travel,Eco-plus,101,5,4,5,1,2,5,2,2,5,3,5,3,5,2,0,4.0,Satisfied
70133,Male,Disloyal-customer,26,Business-travel,Eco,460,1,2,2,3,1,2,1,1,3,5,4,1,3,1,17,13.0,Neutral-or-dissatisfied
123878,Male,Disloyal-customer,21,Business-travel,Eco,144,3,0,3,2,4,3,5,4,4,2,2,3,2,4,0,0.0,Neutral-or-dissatisfied
19645,Male,Loyal-customer,45,Business-travel,Eco-plus,642,2,4,4,4,3,2,3,3,3,5,2,1,5,3,0,0.0,Satisfied
128465,Female,Loyal-customer,16,Personal-travel,Eco,304,1,2,1,2,3,1,1,3,3,3,2,3,3,3,0,0.0,Neutral-or-dissatisfied
125930,Male,Loyal-customer,21,Personal-travel,Eco,951,2,4,2,5,3,2,3,3,2,5,5,4,4,3,0,0.0,Neutral-or-dissatisfied
110633,Male,Loyal-customer,39,Personal-travel,Eco,719,1,4,1,2,3,1,4,3,3,3,4,3,5,3,9,8.0,Neutral-or-dissatisfied
93417,Female,Loyal-customer,40,Business-travel,Business,671,2,2,2,2,5,4,5,5,5,5,5,3,5,5,0,0.0,Satisfied
100584,Male,Loyal-customer,47,Personal-travel,Eco,486,3,0,3,3,5,3,5,5,3,4,5,3,5,5,0,0.0,Neutral-or-dissatisfied
12920,Female,Disloyal-customer,25,Business-travel,Eco,563,3,0,3,3,1,3,1,1,3,1,2,5,2,1,0,0.0,Neutral-or-dissatisfied
106715,Male,Loyal-customer,37,Business-travel,Business,3568,5,3,5,5,4,4,4,5,5,5,5,3,5,3,7,0.0,Satisfied
99544,Female,Loyal-customer,47,Business-travel,Business,829,4,4,4,4,3,4,4,4,4,4,4,4,4,5,5,3.0,Satisfied
38572,Female,Loyal-customer,24,Personal-travel,Eco,2475,2,4,2,2,4,2,4,4,4,3,4,5,4,4,3,0.0,Neutral-or-dissatisfied
95598,Female,Disloyal-customer,48,Business-travel,Eco,670,1,1,1,3,2,1,5,2,4,1,2,2,3,2,8,10.0,Neutral-or-dissatisfied
55128,Female,Loyal-customer,15,Personal-travel,Eco,1608,1,4,1,4,1,1,1,1,3,3,2,2,4,1,0,0.0,Neutral-or-dissatisfied
50887,Male,Loyal-customer,68,Personal-travel,Eco,77,4,4,4,2,1,4,1,1,5,3,4,4,4,1,0,0.0,Neutral-or-dissatisfied
12214,Male,Loyal-customer,50,Business-travel,Business,192,3,5,5,5,1,3,3,2,2,2,3,2,2,3,0,17.0,Neutral-or-dissatisfied
118202,Female,Loyal-customer,68,Personal-travel,Eco,1444,3,5,3,4,5,3,5,4,4,3,4,4,4,5,13,3.0,Neutral-or-dissatisfied
12738,Female,Loyal-customer,16,Personal-travel,Eco,721,4,4,4,3,4,5,5,3,2,5,2,5,4,5,337,330.0,Neutral-or-dissatisfied
3672,Male,Loyal-customer,45,Business-travel,Eco,544,3,3,3,3,3,3,3,3,2,1,3,1,3,3,7,0.0,Neutral-or-dissatisfied
42863,Male,Loyal-customer,57,Business-travel,Business,2252,1,1,1,1,4,5,4,3,3,4,3,3,3,4,0,0.0,Satisfied
22622,Female,Loyal-customer,55,Personal-travel,Eco,223,1,5,0,3,4,4,5,4,4,0,4,5,4,4,0,0.0,Neutral-or-dissatisfied
82333,Female,Loyal-customer,64,Personal-travel,Eco-plus,456,1,4,1,3,1,3,5,4,4,1,4,5,4,2,23,55.0,Neutral-or-dissatisfied
89395,Male,Loyal-customer,68,Business-travel,Business,3919,1,1,1,1,3,4,4,4,4,4,4,4,4,4,0,0.0,Satisfied
22556,Male,Disloyal-customer,45,Business-travel,Business,223,1,1,1,1,4,1,2,4,3,5,4,3,4,4,0,0.0,Neutral-or-dissatisfied
103312,Female,Disloyal-customer,24,Business-travel,Business,1139,4,4,4,1,4,4,4,4,4,5,4,5,5,4,0,0.0,Satisfied
14169,Female,Loyal-customer,42,Business-travel,Business,526,1,1,1,1,3,4,1,5,5,5,5,3,5,1,0,15.0,Satisfied
91069,Male,Loyal-customer,57,Personal-travel,Eco,406,2,1,2,4,3,2,3,3,2,5,3,4,3,3,0,12.0,Neutral-or-dissatisfied
93430,Female,Loyal-customer,59,Business-travel,Business,697,4,4,4,4,2,5,4,5,5,5,5,3,5,4,100,85.0,Satisfied
3122,Female,Loyal-customer,28,Personal-travel,Eco,1013,4,2,4,3,5,4,5,5,2,5,3,3,3,5,0,0.0,Satisfied
57006,Male,Loyal-customer,27,Personal-travel,Eco,2565,3,0,3,5,3,4,4,5,4,5,5,4,3,4,1,0.0,Neutral-or-dissatisfied
87820,Male,Loyal-customer,47,Business-travel,Business,214,2,2,4,2,5,3,3,1,1,2,2,1,1,2,0,0.0,Neutral-or-dissatisfied
49684,Female,Disloyal-customer,47,Business-travel,Eco,56,3,3,3,3,1,3,1,1,3,4,3,1,3,1,36,26.0,Neutral-or-dissatisfied
65888,Female,Loyal-customer,41,Business-travel,Business,1655,1,1,1,1,4,5,5,5,5,5,5,4,5,5,0,0.0,Satisfied
13550,Male,Loyal-customer,32,Business-travel,Business,227,3,5,5,5,3,3,3,3,1,3,3,2,3,3,0,0.0,Neutral-or-dissatisfied
94363,Female,Loyal-customer,41,Business-travel,Business,2858,5,5,3,5,2,4,5,4,4,4,4,4,4,3,59,43.0,Satisfied
102598,Male,Loyal-customer,55,Personal-travel,Eco-plus,223,5,4,5,1,4,5,4,4,4,2,4,5,5,4,0,0.0,Satisfied
45321,Female,Loyal-customer,39,Business-travel,Eco,461,3,5,5,5,3,3,3,3,2,5,4,1,4,3,11,24.0,Neutral-or-dissatisfied
123525,Female,Loyal-customer,38,Business-travel,Business,2296,4,4,4,4,5,5,5,3,5,3,5,5,4,5,0,17.0,Satisfied
17028,Female,Loyal-customer,47,Personal-travel,Eco,781,2,4,2,3,5,2,3,2,2,2,2,1,2,5,0,0.0,Neutral-or-dissatisfied
116557,Male,Loyal-customer,21,Personal-travel,Eco,333,2,5,2,1,1,2,1,1,4,4,5,4,4,1,0,0.0,Neutral-or-dissatisfied
120954,Female,Disloyal-customer,24,Business-travel,Eco,1013,1,1,1,4,2,1,4,2,3,5,3,4,3,2,54,56.0,Neutral-or-dissatisfied
35861,Female,Loyal-customer,45,Personal-travel,Eco,1065,4,2,4,3,1,4,3,3,3,4,3,1,3,4,0,3.0,Neutral-or-dissatisfied
100684,Female,Loyal-customer,23,Business-travel,Eco,889,3,3,3,3,3,3,2,3,3,4,4,1,3,3,12,15.0,Neutral-or-dissatisfied
27808,Female,Loyal-customer,20,Business-travel,Business,3948,3,3,3,3,4,4,4,4,3,1,3,2,3,4,0,0.0,Satisfied
24209,Female,Loyal-customer,41,Business-travel,Business,147,1,1,1,1,1,5,3,4,4,4,4,5,4,3,0,0.0,Satisfied
15070,Female,Loyal-customer,23,Business-travel,Eco-plus,488,4,5,5,5,4,5,4,4,5,4,1,5,1,4,0,62.0,Satisfied
34518,Female,Loyal-customer,21,Personal-travel,Eco,1428,4,4,4,3,2,4,2,2,5,5,4,3,3,2,0,3.0,Neutral-or-dissatisfied
55769,Male,Loyal-customer,61,Personal-travel,Business,646,2,2,1,4,1,4,3,2,2,1,4,4,2,2,40,21.0,Neutral-or-dissatisfied
36250,Female,Disloyal-customer,36,Business-travel,Eco,612,1,0,1,2,2,1,4,2,3,3,2,5,5,2,0,1.0,Neutral-or-dissatisfied
30892,Male,Disloyal-customer,28,Business-travel,Eco,841,2,2,2,3,5,2,5,5,4,3,3,4,2,5,0,0.0,Neutral-or-dissatisfied
124088,Female,Disloyal-customer,45,Business-travel,Business,529,5,4,4,1,4,5,4,4,5,4,5,3,4,4,0,0.0,Satisfied
44192,Male,Loyal-customer,41,Business-travel,Eco,157,4,2,2,2,4,4,4,4,3,1,4,1,4,4,0,0.0,Satisfied
66382,Male,Loyal-customer,59,Business-travel,Business,1562,5,5,5,5,2,4,5,4,4,4,4,3,4,5,0,0.0,Satisfied
30588,Male,Loyal-customer,38,Personal-travel,Eco,628,1,4,1,2,3,1,2,3,5,4,4,5,4,3,4,0.0,Neutral-or-dissatisfied
9589,Female,Disloyal-customer,30,Business-travel,Eco,292,1,1,1,3,5,1,4,5,4,1,3,4,4,5,0,0.0,Neutral-or-dissatisfied
98842,Male,Loyal-customer,39,Personal-travel,Eco-plus,763,1,4,1,4,5,1,5,5,3,2,5,5,4,5,0,0.0,Neutral-or-dissatisfied
126606,Female,Loyal-customer,31,Business-travel,Business,1337,2,3,3,3,2,2,2,2,1,4,3,3,4,2,48,46.0,Neutral-or-dissatisfied
45001,Female,Loyal-customer,39,Business-travel,Eco,222,3,3,3,3,3,3,3,3,3,3,5,5,5,3,0,0.0,Satisfied
45725,Female,Loyal-customer,63,Personal-travel,Eco,852,3,4,3,2,2,5,4,5,5,3,3,5,5,5,12,0.0,Neutral-or-dissatisfied
108851,Male,Loyal-customer,31,Business-travel,Business,2139,1,1,1,1,5,5,5,5,5,3,4,3,4,5,46,42.0,Satisfied
19649,Male,Disloyal-customer,17,Business-travel,Eco,763,4,4,4,4,2,4,2,2,1,2,4,4,3,2,0,0.0,Satisfied
125443,Female,Loyal-customer,48,Personal-travel,Business,2917,5,2,4,4,2,3,4,4,4,4,4,2,4,1,0,0.0,Satisfied
57879,Female,Disloyal-customer,27,Business-travel,Eco,305,3,1,3,4,1,3,1,1,3,3,4,3,3,1,11,4.0,Neutral-or-dissatisfied
58311,Male,Loyal-customer,44,Business-travel,Business,1739,4,4,4,4,5,4,5,2,2,2,2,4,2,4,1,6.0,Satisfied
20369,Male,Loyal-customer,32,Personal-travel,Eco,265,2,4,2,4,5,2,5,5,2,1,4,2,2,5,42,35.0,Neutral-or-dissatisfied
46299,Male,Loyal-customer,59,Personal-travel,Eco,533,1,4,1,3,5,1,5,5,4,4,5,5,5,5,0,0.0,Neutral-or-dissatisfied
48309,Female,Loyal-customer,23,Personal-travel,Eco,1499,1,5,1,3,3,1,3,3,3,4,3,3,5,3,80,82.0,Neutral-or-dissatisfied
99556,Female,Disloyal-customer,22,Business-travel,Eco,802,2,2,2,3,3,2,3,3,1,3,4,1,3,3,0,0.0,Neutral-or-dissatisfied
8747,Female,Loyal-customer,15,Personal-travel,Eco-plus,227,3,5,3,1,4,3,4,4,4,2,4,4,4,4,0,0.0,Neutral-or-dissatisfied
113694,Male,Loyal-customer,57,Personal-travel,Eco,236,4,4,4,4,2,4,2,2,3,4,4,4,4,2,1,13.0,Neutral-or-dissatisfied
45912,Female,Disloyal-customer,39,Business-travel,Business,641,2,2,2,4,4,2,1,4,1,2,3,3,3,4,58,45.0,Neutral-or-dissatisfied
89508,Male,Disloyal-customer,25,Business-travel,Business,950,2,0,2,2,3,2,3,3,3,5,4,3,4,3,26,4.0,Neutral-or-dissatisfied
122277,Male,Loyal-customer,39,Personal-travel,Eco,544,4,5,4,4,2,4,2,2,5,3,2,1,2,2,2,15.0,Neutral-or-dissatisfied
35211,Male,Loyal-customer,28,Business-travel,Business,1028,3,3,4,3,5,5,5,5,4,2,1,4,5,5,0,0.0,Satisfied
51309,Male,Disloyal-customer,23,Business-travel,Eco,89,3,3,3,3,1,3,1,1,1,2,3,1,3,1,62,61.0,Neutral-or-dissatisfied
118699,Male,Loyal-customer,61,Personal-travel,Eco,646,2,5,3,4,3,3,3,3,1,4,1,3,3,3,0,0.0,Neutral-or-dissatisfied
58394,Male,Disloyal-customer,65,Business-travel,Business,473,5,5,5,3,1,5,1,1,4,5,4,5,4,1,11,33.0,Satisfied
122506,Male,Loyal-customer,56,Business-travel,Business,1918,1,1,1,1,2,5,4,4,4,4,4,4,4,3,0,0.0,Satisfied
120160,Female,Loyal-customer,45,Personal-travel,Eco,2378,3,2,3,4,3,1,1,4,5,2,3,1,1,1,4,4.0,Neutral-or-dissatisfied
77034,Female,Loyal-customer,28,Personal-travel,Eco,422,2,3,2,4,2,2,2,2,4,3,4,1,3,2,41,33.0,Neutral-or-dissatisfied
51427,Male,Loyal-customer,67,Personal-travel,Eco-plus,134,2,5,2,2,1,2,1,1,4,5,2,3,4,1,0,0.0,Neutral-or-dissatisfied
119077,Female,Loyal-customer,48,Business-travel,Business,1020,1,1,1,1,5,5,5,5,5,5,4,5,5,5,126,136.0,Satisfied
108327,Female,Loyal-customer,44,Business-travel,Business,1706,2,2,2,2,2,4,4,4,4,5,4,5,4,5,6,0.0,Satisfied
12412,Male,Loyal-customer,69,Business-travel,Eco,305,4,1,1,1,4,4,4,4,5,2,2,3,3,4,0,0.0,Satisfied
108898,Male,Disloyal-customer,25,Business-travel,Business,1183,4,4,4,2,2,4,2,2,3,5,5,5,4,2,3,1.0,Satisfied
15957,Male,Loyal-customer,60,Personal-travel,Eco,738,2,5,2,1,5,2,5,5,4,5,5,5,5,5,77,64.0,Neutral-or-dissatisfied
25613,Female,Loyal-customer,32,Business-travel,Business,1574,4,4,4,4,4,4,4,4,2,2,5,2,2,4,49,41.0,Satisfied
49553,Female,Disloyal-customer,38,Business-travel,Eco,363,3,0,3,2,4,3,4,4,3,3,3,4,3,4,0,0.0,Neutral-or-dissatisfied
123175,Male,Loyal-customer,57,Business-travel,Business,328,2,2,2,2,5,4,4,5,5,5,5,5,5,4,0,0.0,Satisfied
91831,Male,Loyal-customer,39,Business-travel,Business,2735,5,5,5,5,4,5,5,4,4,4,4,4,4,4,0,0.0,Satisfied
118881,Male,Loyal-customer,13,Personal-travel,Eco,1136,2,4,2,3,3,2,3,3,3,5,5,4,5,3,7,4.0,Neutral-or-dissatisfied
67628,Female,Loyal-customer,48,Business-travel,Business,3614,4,4,4,4,5,4,5,5,5,5,5,5,5,5,0,2.0,Satisfied
81289,Male,Loyal-customer,62,Personal-travel,Eco,1020,3,2,3,3,4,3,4,4,4,5,3,4,4,4,0,32.0,Neutral-or-dissatisfied
32037,Male,Disloyal-customer,40,Business-travel,Eco,101,3,0,3,2,1,3,1,1,5,2,1,3,5,1,0,0.0,Neutral-or-dissatisfied
30129,Male,Loyal-customer,10,Personal-travel,Eco,539,3,5,3,1,4,3,5,4,4,2,5,5,4,4,0,0.0,Neutral-or-dissatisfied
124238,Male,Disloyal-customer,43,Business-travel,Business,1916,2,2,2,1,4,2,4,4,4,3,5,5,5,4,0,0.0,Neutral-or-dissatisfied
95688,Male,Loyal-customer,43,Business-travel,Business,419,1,1,1,1,4,5,4,4,4,4,4,3,4,5,0,2.0,Satisfied
38205,Male,Loyal-customer,22,Business-travel,Eco-plus,1249,2,5,3,5,2,2,4,2,3,1,3,3,4,2,0,0.0,Neutral-or-dissatisfied
99477,Female,Loyal-customer,44,Business-travel,Eco,307,1,3,3,3,2,3,4,1,1,1,1,3,1,3,61,55.0,Neutral-or-dissatisfied
83350,Male,Loyal-customer,52,Business-travel,Business,3850,5,5,5,5,2,5,5,2,2,2,2,4,2,3,7,0.0,Satisfied
52365,Female,Loyal-customer,48,Personal-travel,Eco,237,4,4,4,4,3,4,4,2,2,4,2,3,2,3,0,0.0,Neutral-or-dissatisfied
53136,Female,Loyal-customer,47,Business-travel,Business,413,4,4,4,4,2,3,1,3,3,4,3,3,3,3,0,0.0,Satisfied
94393,Male,Loyal-customer,48,Business-travel,Business,1967,3,3,3,3,3,4,4,5,5,5,5,3,5,4,2,7.0,Satisfied
21550,Female,Loyal-customer,19,Personal-travel,Eco,331,2,2,2,3,3,2,3,3,3,1,3,3,3,3,0,0.0,Neutral-or-dissatisfied
77685,Male,Loyal-customer,16,Business-travel,Business,731,3,2,4,4,3,3,3,3,1,1,3,3,4,3,7,0.0,Neutral-or-dissatisfied
46988,Male,Loyal-customer,37,Personal-travel,Eco,833,2,4,2,1,1,2,1,1,4,2,5,4,4,1,0,0.0,Neutral-or-dissatisfied
15844,Male,Loyal-customer,21,Personal-travel,Eco,1107,5,5,5,4,4,5,4,4,1,3,3,4,2,4,32,36.0,Satisfied
36092,Male,Loyal-customer,65,Personal-travel,Eco,474,2,4,2,3,4,2,4,4,4,2,5,5,1,4,0,0.0,Neutral-or-dissatisfied
19039,Female,Loyal-customer,37,Business-travel,Eco-plus,388,5,2,2,2,5,5,5,5,5,3,5,1,5,5,0,1.0,Satisfied
128276,Male,Loyal-customer,38,Personal-travel,Business,338,1,4,1,4,2,5,4,1,1,1,1,4,1,3,0,0.0,Neutral-or-dissatisfied
66441,Male,Disloyal-customer,45,Business-travel,Business,1217,3,3,3,3,2,3,2,2,5,5,4,5,4,2,0,0.0,Neutral-or-dissatisfied
32742,Male,Loyal-customer,32,Business-travel,Business,2172,2,3,3,3,3,3,2,3,3,1,3,4,3,3,0,0.0,Neutral-or-dissatisfied
74872,Male,Disloyal-customer,20,Business-travel,Eco,1076,4,4,4,5,1,4,1,1,5,5,5,3,4,1,0,0.0,Satisfied
64287,Female,Loyal-customer,50,Business-travel,Business,3799,5,5,5,5,4,5,4,4,4,5,4,5,4,5,8,0.0,Satisfied
3098,Female,Loyal-customer,33,Personal-travel,Eco,413,2,1,2,3,5,2,1,5,2,2,4,3,4,5,0,0.0,Neutral-or-dissatisfied
82275,Female,Loyal-customer,39,Business-travel,Eco,1481,2,2,2,2,2,2,2,2,2,3,4,2,3,2,3,6.0,Neutral-or-dissatisfied
