id,gender,customer-type,age,type-of-travel,class,flight-distance,inflight-wifi-service,departure/arrival-time-convenient,ease-of-online-booking,gate-location,food-and-drink,online-boarding,seat-comfort,inflight-entertainment,on-board-service,leg-room-service,baggage-handling,checkin-service,inflight-service,cleanliness,departure-delay-in-minutes,arrival-delay-in-minutes,satisfaction
76333,Female,Loyal-customer,45,Personal-travel,Eco-plus,2182,3,2,3,3,4,4,3,2,2,3,2,3,2,2,0,0.0,Neutral-or-dissatisfied
25438,Male,Disloyal-customer,25,Business-travel,Eco,669,2,2,2,4,1,2,1,1,4,4,4,5,1,1,0,0.0,Neutral-or-dissatisfied
28957,Male,Loyal-customer,14,Business-travel,Business,2961,1,3,3,3,1,1,1,1,1,3,2,3,2,1,10,17.0,Neutral-or-dissatisfied
53946,Male,Loyal-customer,29,Business-travel,Eco,1117,5,4,4,4,5,5,5,5,5,5,5,4,3,5,9,0.0,Satisfied
19090,Male,Loyal-customer,22,Personal-travel,Eco,296,3,1,3,4,3,3,2,3,4,1,4,3,3,3,0,0.0,Neutral-or-dissatisfied
62380,Male,Disloyal-customer,11,Business-travel,Eco,1210,2,2,2,4,4,2,4,4,3,3,2,3,4,4,91,61.0,Neutral-or-dissatisfied
128044,Female,Loyal-customer,48,Personal-travel,Eco-plus,1440,3,1,3,2,2,3,2,2,2,3,2,3,2,1,0,0.0,Neutral-or-dissatisfied
104535,Male,Disloyal-customer,23,Business-travel,Eco,1256,4,4,4,4,4,4,4,4,3,4,4,3,5,4,0,0.0,Satisfied
52167,Female,Loyal-customer,36,Business-travel,Business,509,3,3,3,3,2,5,4,5,5,5,5,4,5,1,0,0.0,Satisfied
102347,Female,Disloyal-customer,22,Business-travel,Eco,223,3,3,3,4,4,3,3,4,1,2,3,3,4,4,22,14.0,Neutral-or-dissatisfied
46336,Male,Disloyal-customer,20,Business-travel,Eco,589,3,2,3,2,5,3,5,5,1,1,2,3,2,5,3,8.0,Neutral-or-dissatisfied
119915,Male,Loyal-customer,23,Business-travel,Business,3117,5,5,5,5,4,4,4,4,5,4,5,4,4,4,1,0.0,Satisfied
1078,Female,Loyal-customer,20,Personal-travel,Eco,102,4,3,4,1,3,4,3,3,1,3,5,5,4,3,3,0.0,Neutral-or-dissatisfied
19964,Female,Loyal-customer,17,Personal-travel,Business,557,2,4,2,3,3,2,3,3,2,2,4,2,4,3,36,23.0,Neutral-or-dissatisfied
69422,Female,Disloyal-customer,20,Business-travel,Eco,1096,1,1,1,3,4,1,4,4,2,2,4,5,1,4,0,0.0,Neutral-or-dissatisfied
10607,Female,Loyal-customer,30,Business-travel,Business,667,4,4,3,4,3,4,3,3,5,3,4,4,4,3,0,0.0,Satisfied
65034,Male,Loyal-customer,56,Personal-travel,Eco,224,3,4,3,3,3,3,3,3,5,4,4,4,5,3,0,0.0,Neutral-or-dissatisfied
13547,Female,Disloyal-customer,80,Business-travel,Business,152,3,4,4,3,3,3,3,4,5,4,3,3,3,3,249,248.0,Neutral-or-dissatisfied
48782,Male,Loyal-customer,67,Business-travel,Business,250,0,0,0,3,4,5,4,5,5,5,5,3,5,5,0,0.0,Satisfied
42206,Male,Loyal-customer,54,Business-travel,Eco,784,3,3,3,3,3,3,3,3,3,2,5,1,1,3,0,0.0,Satisfied
104375,Male,Loyal-customer,51,Business-travel,Business,3090,2,4,4,4,3,3,4,2,2,2,2,4,2,1,0,0.0,Neutral-or-dissatisfied
88120,Male,Loyal-customer,64,Business-travel,Business,406,1,1,1,1,3,4,4,5,5,5,5,3,5,3,23,17.0,Satisfied
70609,Male,Loyal-customer,60,Business-travel,Business,2611,4,4,4,4,4,4,4,4,3,4,5,4,5,4,0,0.0,Satisfied
81350,Female,Loyal-customer,62,Personal-travel,Eco,1299,1,4,1,3,2,4,4,5,5,1,4,4,5,4,118,111.0,Neutral-or-dissatisfied
115353,Male,Loyal-customer,60,Business-travel,Business,1811,5,5,5,5,2,5,4,4,4,4,4,4,4,5,7,0.0,Satisfied
37730,Male,Loyal-customer,7,Personal-travel,Eco,1076,2,5,1,4,4,1,2,4,3,4,4,3,5,4,0,0.0,Neutral-or-dissatisfied
40961,Female,Loyal-customer,22,Business-travel,Business,2030,4,4,3,4,5,5,5,5,1,2,3,5,4,5,0,3.0,Satisfied
47266,Female,Loyal-customer,33,Business-travel,Business,2445,5,5,5,5,5,3,1,3,3,4,3,5,3,3,1,2.0,Satisfied
784,Male,Disloyal-customer,24,Business-travel,Eco,134,3,0,3,1,5,3,5,5,5,4,4,3,5,5,0,0.0,Neutral-or-dissatisfied
121192,Female,Loyal-customer,7,Personal-travel,Eco,2521,3,2,4,2,1,4,1,1,1,5,1,1,2,1,0,,Neutral-or-dissatisfied
4060,Male,Loyal-customer,40,Personal-travel,Eco,479,2,4,2,3,1,2,1,1,2,2,4,3,3,1,124,129.0,Neutral-or-dissatisfied
109096,Male,Loyal-customer,44,Personal-travel,Eco,1041,3,4,3,3,4,3,4,4,5,2,4,5,5,4,2,4.0,Neutral-or-dissatisfied
97635,Male,Loyal-customer,17,Personal-travel,Eco,748,1,4,0,1,1,0,1,1,3,2,4,3,5,1,1,2.0,Neutral-or-dissatisfied
20809,Female,Loyal-customer,24,Business-travel,Business,357,3,4,4,4,3,3,3,3,4,2,3,4,4,3,43,32.0,Neutral-or-dissatisfied
51179,Female,Loyal-customer,38,Business-travel,Eco-plus,86,5,2,3,2,5,5,5,5,3,5,3,2,2,5,2,0.0,Satisfied
51466,Male,Loyal-customer,28,Business-travel,Eco-plus,89,0,0,0,4,3,0,3,3,3,5,2,1,1,3,0,0.0,Satisfied
58967,Female,Disloyal-customer,27,Business-travel,Business,1846,2,2,2,5,3,2,3,3,4,3,5,4,4,3,45,0.0,Neutral-or-dissatisfied
34809,Male,Loyal-customer,55,Personal-travel,Eco,301,4,4,4,1,4,4,3,4,5,2,5,3,4,4,0,0.0,Neutral-or-dissatisfied
126339,Female,Loyal-customer,33,Personal-travel,Eco,631,3,3,3,4,1,3,1,1,1,1,2,3,1,1,16,30.0,Neutral-or-dissatisfied
60235,Female,Loyal-customer,58,Business-travel,Business,1958,1,1,1,1,2,1,1,5,5,5,5,4,5,5,13,18.0,Satisfied
68696,Male,Loyal-customer,7,Personal-travel,Eco,175,4,4,4,2,4,4,4,4,3,2,5,5,5,4,6,0.0,Satisfied
61042,Female,Loyal-customer,35,Business-travel,Business,1506,4,4,4,4,4,5,5,5,5,5,5,3,5,4,3,11.0,Satisfied
84773,Male,Loyal-customer,30,Business-travel,Business,3014,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.0,Satisfied
9292,Female,Loyal-customer,7,Personal-travel,Eco,1157,3,4,3,2,5,3,5,5,5,2,4,4,4,5,0,0.0,Neutral-or-dissatisfied
66482,Female,Loyal-customer,34,Business-travel,Eco,447,3,2,2,2,3,3,3,3,4,2,4,2,4,3,1,9.0,Neutral-or-dissatisfied
64697,Female,Disloyal-customer,22,Business-travel,Business,190,5,0,5,4,3,5,1,3,4,4,4,4,4,3,0,0.0,Satisfied
126377,Male,Loyal-customer,28,Personal-travel,Eco,328,5,2,5,3,2,5,2,2,2,3,4,2,3,2,0,0.0,Satisfied
119417,Female,Loyal-customer,49,Business-travel,Eco,399,5,4,4,4,2,2,4,5,5,5,5,2,5,5,0,0.0,Satisfied
70054,Male,Loyal-customer,19,Personal-travel,Eco,583,4,5,4,3,3,4,3,3,3,5,4,5,5,3,0,0.0,Neutral-or-dissatisfied
107192,Male,Loyal-customer,47,Business-travel,Eco,402,2,4,4,4,1,2,1,1,2,1,4,4,4,1,5,10.0,Neutral-or-dissatisfied
100987,Female,Loyal-customer,25,Business-travel,Business,867,5,4,5,5,5,5,5,5,3,3,5,3,4,5,6,5.0,Satisfied
66319,Male,Loyal-customer,61,Personal-travel,Eco,852,0,5,0,5,2,0,2,2,5,5,4,4,5,2,11,2.0,Satisfied
115815,Male,Disloyal-customer,27,Business-travel,Eco,337,3,4,3,3,5,3,5,5,2,4,4,2,4,5,10,5.0,Neutral-or-dissatisfied
31268,Male,Loyal-customer,22,Business-travel,Business,2367,3,3,3,3,1,2,1,1,5,1,3,2,3,1,0,4.0,Satisfied
40595,Female,Loyal-customer,38,Business-travel,Eco,391,2,4,4,4,2,1,2,2,3,2,4,4,4,2,26,19.0,Neutral-or-dissatisfied
7033,Female,Loyal-customer,52,Business-travel,Business,2358,5,5,5,5,5,5,5,4,4,4,4,4,4,3,6,0.0,Satisfied
88753,Male,Loyal-customer,40,Personal-travel,Eco,406,3,5,3,3,3,3,4,3,4,3,5,4,4,3,0,0.0,Neutral-or-dissatisfied
33939,Male,Disloyal-customer,28,Business-travel,Business,1072,4,4,4,3,4,4,4,4,5,3,5,4,1,4,0,0.0,Satisfied
86046,Female,Loyal-customer,43,Personal-travel,Eco,447,4,5,4,3,5,4,4,2,2,4,2,4,2,5,0,0.0,Neutral-or-dissatisfied
31875,Female,Loyal-customer,52,Business-travel,Business,4983,3,5,5,5,3,3,3,3,3,3,5,3,2,3,16,0.0,Satisfied
63960,Male,Loyal-customer,35,Personal-travel,Eco,1172,1,5,1,4,3,1,3,3,4,2,5,5,5,3,0,0.0,Neutral-or-dissatisfied
22379,Male,Loyal-customer,33,Business-travel,Business,2415,2,1,1,1,1,1,2,1,2,3,3,2,4,1,0,0.0,Neutral-or-dissatisfied
30414,Female,Loyal-customer,45,Business-travel,Eco-plus,641,3,4,4,4,5,5,4,3,3,3,3,5,3,2,0,0.0,Satisfied
6860,Female,Loyal-customer,45,Business-travel,Business,622,1,2,5,2,3,4,3,1,1,1,1,3,1,4,20,27.0,Neutral-or-dissatisfied
93215,Male,Disloyal-customer,38,Business-travel,Business,1460,5,5,5,4,4,5,4,4,4,5,4,5,5,4,0,0.0,Satisfied
73745,Female,Loyal-customer,62,Personal-travel,Eco,204,1,2,0,4,3,4,4,2,2,0,2,3,2,3,3,1.0,Neutral-or-dissatisfied
92751,Female,Loyal-customer,17,Personal-travel,Eco,1276,3,4,4,4,2,4,1,2,2,2,3,1,4,2,0,0.0,Neutral-or-dissatisfied
27190,Female,Loyal-customer,34,Business-travel,Eco-plus,2640,5,5,4,4,5,5,5,2,4,5,5,5,2,5,0,0.0,Satisfied
13336,Male,Loyal-customer,49,Business-travel,Business,946,5,5,5,5,5,4,1,5,5,5,5,4,5,3,0,21.0,Satisfied
62079,Male,Loyal-customer,51,Business-travel,Business,2475,1,1,1,1,3,4,5,5,5,5,5,3,5,5,0,10.0,Satisfied
107782,Female,Loyal-customer,31,Business-travel,Business,666,4,4,4,4,2,2,2,2,4,3,4,4,4,2,7,27.0,Satisfied
111754,Female,Loyal-customer,28,Business-travel,Eco-plus,1085,2,5,3,5,2,2,2,2,3,4,4,4,3,2,27,13.0,Neutral-or-dissatisfied
27047,Female,Disloyal-customer,41,Business-travel,Eco,1154,2,2,2,3,4,2,4,4,5,4,3,4,4,4,0,0.0,Neutral-or-dissatisfied
15702,Female,Loyal-customer,48,Business-travel,Eco,479,4,4,4,4,3,5,1,5,5,4,5,3,5,2,4,0.0,Satisfied
118963,Male,Loyal-customer,33,Business-travel,Business,3012,3,3,3,3,3,3,3,3,4,5,3,3,4,3,5,0.0,Neutral-or-dissatisfied
